id,suhu,humidity,gas,created_at
10999,31.2,82.4,18735.0,2026-04-27 22:21:39
11000,31.2,82.3,18735.0,2026-04-27 22:21:41
11001,31.2,82.4,20004.2,2026-04-27 22:21:43
11002,31.2,82.3,20223.7,2026-04-27 22:21:45
11003,31.2,82.4,21826.8,2026-04-27 22:21:47
11004,31.2,82.4,16975.4,2026-04-27 22:21:49
11005,31.2,82.4,18329.4,2026-04-27 22:21:51
11006,31.2,82.5,19572.2,2026-04-27 22:21:53
11007,31.2,83.0,19572.2,2026-04-27 22:21:55
11008,31.2,83.1,19359.6,2026-04-27 22:21:57
11009,31.2,83.1,5298.49,2026-04-27 22:21:59
11010,31.2,83.0,23046.8,2026-04-27 22:22:01
11011,31.3,82.8,20669.7,2026-04-27 22:22:03
11012,31.2,82.7,13764.5,2026-04-27 22:22:05
11013,31.2,82.6,20004.2,2026-04-27 22:22:07
11014,31.2,82.9,19572.2,2026-04-27 22:22:09
11015,31.2,82.8,17543.5,2026-04-27 22:22:12
11016,31.2,82.7,22307.1,2026-04-27 22:22:14
11017,31.2,82.8,18531.1,2026-04-27 22:22:16
11018,31.2,82.6,19359.6,2026-04-27 22:22:18
11019,31.2,82.4,18735.0,2026-04-27 22:22:20
11020,31.2,82.6,19149.2,2026-04-27 22:22:22
11021,31.3,82.8,17736.9,2026-04-27 22:22:24
11022,31.2,82.9,12592.5,2026-04-27 22:22:26
11023,31.2,83.0,17543.5,2026-04-27 22:22:28
11024,31.3,82.9,19572.2,2026-04-27 22:22:30
11025,31.2,82.9,18329.4,2026-04-27 22:22:32
11026,31.2,83.0,19572.2,2026-04-27 22:22:37
11027,31.2,83.4,19787.1,2026-04-27 22:22:41
11028,31.2,83.6,26253.8,2026-04-27 22:22:49
11029,31.3,83.5,19572.2,2026-04-27 22:22:55
11030,31.2,83.3,17543.5,2026-04-27 22:22:59
11031,31.2,82.2,24867.5,2026-04-27 22:23:35
11032,31.2,82.3,13918.0,2026-04-27 22:23:37
11033,31.2,82.2,7378.78,2026-04-27 22:23:39
11034,31.2,82.3,18329.4,2026-04-27 22:23:41
11035,31.2,82.2,29899.6,2026-04-27 22:23:43
11036,31.2,82.2,19787.1,2026-04-27 22:23:45
11037,31.2,82.2,22065.6,2026-04-27 22:23:47
11038,31.2,82.2,22065.6,2026-04-27 22:23:49
11039,31.2,82.2,18531.1,2026-04-27 22:23:51
11040,31.2,82.1,24070.6,2026-04-27 22:23:53
